year, IPSL-CM6A-LR, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, CNRM-ESM2-1, MIROC-ES2L, CESM2-WACCM, CMCC-ESM2
1.945000000000000000e+03, 8.649296420781886973e-10, 4.220336216155090926e-11, 5.512746440737552156e-10, 5.247856494446108646e-13, 3.921760272190837973e-11, 5.517081474915431322e-10, 3.809425793549483716e-10, 1.385487558068318024e-10
1.946000000000000000e+03, 8.758571807199557369e-10, 4.206084629409280793e-11, 5.556674575993343634e-10, 5.355219743626394184e-13, 3.890245974028883748e-11, 5.567839108726974251e-10, 3.705863067895299199e-10, 1.405919299036397064e-10
1.947000000000000000e+03, 8.442325200074373322e-10, 4.193923839200158273e-11, 5.513817365474310573e-10, 5.138036646083615920e-13, 3.857969078868034354e-11, 5.558633970938865472e-10, 3.698115371418828678e-10, 1.427214418366480024e-10
1.948000000000000000e+03, 8.706895284797128555e-10, 4.183363757218151420e-11, 5.505767253010119198e-10, 6.042163779103547631e-13, 3.817627538125869765e-11, 5.556621594647878064e-10, 3.755986745733561809e-10, 1.449071447602127676e-10
1.949000000000000000e+03, 9.055287029181540010e-10, 4.181848121645885818e-11, 5.578940549883361267e-10, 6.452068395226587746e-13, 3.772502312080501544e-11, 5.572370774412073004e-10, 3.692475641438075796e-10, 1.471508770368224484e-10
1.950000000000000000e+03, 9.278213991158602877e-10, 4.119362591719933191e-11, 5.921631596025673896e-10, 9.744221344763834667e-13, 3.725638380409295005e-11, 6.146079087055170449e-10, 3.592001845395641368e-10, 1.521525499492408351e-10
1.951000000000000000e+03, 9.089062492319184037e-10, 8.273478308405484642e-11, 6.077814592994089725e-10, 1.358561207966162995e-12, 3.707483049076282335e-11, 6.329423920455406081e-10, 3.796304358657374502e-10, 1.592448144232023366e-10
1.952000000000000000e+03, 9.180858055665972206e-10, 1.030596881166162377e-10, 6.154056204322677109e-10, 1.348362570609582585e-12, 4.377260193784236978e-11, 6.454861137959753117e-10, 4.032460789504120685e-10, 1.656676377141893510e-10
1.953000000000000000e+03, 8.819233151123471255e-10, 1.117207200603990144e-10, 6.071325903127720958e-10, 1.331441394304506487e-12, 5.086857259146895464e-11, 6.622392219427373968e-10, 4.221519278358558421e-10, 1.716568829814366409e-10
1.954000000000000000e+03, 9.516937649265035233e-10, 1.173922210465430270e-10, 6.072482715285709321e-10, 1.265539081284439827e-12, 5.846203727010400682e-11, 6.766035563581492295e-10, 4.498654301279007132e-10, 1.773248339843798058e-10
1.955000000000000000e+03, 9.418035996447032875e-10, 1.216812266791316813e-10, 6.019561228660861531e-10, 1.254646425274532144e-12, 6.649773507081916597e-11, 6.874424732048838805e-10, 4.499474179105191461e-10, 1.827537377354479057e-10
1.956000000000000000e+03, 9.237447003746150095e-10, 1.255077924774937889e-10, 6.230876185744073733e-10, 1.106121084548978798e-12, 7.483773155702923960e-11, 6.962676063001916421e-10, 4.338490700618023852e-10, 1.879313590127419743e-10
1.957000000000000000e+03, 8.439683492762358068e-10, 1.293918049932214165e-10, 6.387563569705590492e-10, 1.190546041850180753e-12, 8.324275288895704608e-11, 7.014939926248362111e-10, 4.483132471828540076e-10, 1.929132804788847281e-10
1.958000000000000000e+03, 8.953163666301788121e-10, 1.327693540286760506e-10, 6.516169392422997531e-10, 1.214734013638393090e-12, 9.163000206905272641e-11, 7.065823307611807943e-10, 4.603776968594091513e-10, 1.977901131806283060e-10
1.959000000000000000e+03, 9.278600382696512874e-10, 1.358144244948579211e-10, 6.522942321427240603e-10, 1.270540998737414543e-12, 9.992830269639739918e-11, 7.155450994609567571e-10, 4.670776946738966305e-10, 2.026172262934938744e-10
1.960000000000000000e+03, 9.335009570056471986e-10, 1.387833093364652801e-10, 6.254512242083600543e-10, 1.111639206951567343e-12, 1.082443090277836965e-10, 6.852273028373731080e-10, 4.739619673914112568e-10, 2.058904630448260435e-10
1.961000000000000000e+03, 9.088204483200587412e-10, 1.278710864109514324e-10, 6.085087755594356104e-10, 8.995395951512857506e-13, 1.101579797790141704e-10, 6.871905518536494573e-10, 5.049755123045706848e-10, 2.080046618960073658e-10
1.962000000000000000e+03, 9.548347904779477878e-10, 1.242463471087868669e-10, 6.102314591374654410e-10, 7.944255246555111022e-13, 1.064417097407051939e-10, 6.905971136934711632e-10, 5.381904138122368492e-10, 2.117548471127914585e-10
1.963000000000000000e+03, 9.276015081639265168e-10, 1.232317442986193832e-10, 6.191382251024482286e-10, 8.431143892731479128e-13, 1.023277002311402554e-10, 6.918065797767981104e-10, 5.343773129607403671e-10, 2.157924692663822806e-10
