year, CNRM-ESM2-1, TaiESM1, NorESM2-MM, GFDL-ESM4, NorESM2-LM
2.005000000000000000e+03, 1.109539057924606895e-10, 4.227372510333764551e-10, 3.333936250602358000e-10, 1.775357155632698303e-10, 1.994505987081483817e-10
2.006000000000000000e+03, 1.542737769938541031e-10, 4.378867661150714540e-10, 1.837215044536871132e-10, 1.365122605311810757e-10, 1.923588503938212232e-10
2.007000000000000000e+03, 1.169242281046312193e-10, 6.761039231782966029e-10, 2.006305729383032581e-10, 1.338930626809326885e-10, 2.382933341855659091e-10
2.008000000000000000e+03, 1.539218302019036528e-10, 5.046002863340936657e-10, 2.958073956366220449e-10, 1.093810514595968581e-10, 2.810980695161299227e-10
2.009000000000000000e+03, 1.175433923552524456e-10, 4.408487497860037715e-10, 3.003960856143501426e-10, 1.273739411413432615e-10, 2.439657392609114683e-10
2.010000000000000000e+03, 1.388776281384782969e-10, 6.439909236932332529e-10, 2.812436769181406291e-10, 1.168922648671597618e-10, 1.889179716932701821e-10
2.011000000000000000e+03, 1.140681217252050703e-10, 7.764183970540472231e-10, 1.417563706451469512e-10, 1.333212472477283545e-10, 2.453410893262819141e-10
2.012000000000000000e+03, 1.408346765854721606e-10, 7.330426705178398654e-10, 1.165896031976204972e-10, 1.550422091170122366e-10, 1.689424615642315596e-10
2.013000000000000000e+03, 1.412076819976118673e-10, 4.902877231130677104e-10, 2.752874669239186204e-10, 8.181529689825990036e-11, 2.201238911104185454e-10
2.014000000000000000e+03, 1.528295099183913353e-10, 4.438990262285552571e-10, 2.212632693160556958e-10, 1.267279241447283814e-10, 1.423902786267875832e-10
